Date,Open,High,Low,Close,Adj Close,Volume
2022-10-25,177.25,183.460007,176.210007,181.820007,181.820007,3652100
2022-10-26,169.800003,179.580002,167.779999,169.449997,169.449997,6574100
2022-10-27,171.639999,175.179993,168.100006,169.110001,169.110001,4082200
2022-10-28,162.639999,164.300003,155.029999,159.690002,159.690002,7836600
2022-10-31,159.25,161.880005,155.850006,160.300003,160.300003,4302500
2022-11-01,164.740005,167.410004,158.742004,159.5,159.5,3153100
2022-11-02,157.75,157.990005,147.25,147.75,147.75,6244000
2022-11-03,146.610001,157.190002,146.199997,150.470001,150.470001,5936000
2022-11-04,148.729996,148.75,129.360001,132.309998,132.309998,10787700
2022-11-07,133.460007,134.082993,126.300003,129.100006,129.100006,5756400
2022-11-08,130.910004,133.669998,124.889999,129.160004,129.160004,5532900
2022-11-09,126.519997,128.800003,122.769997,126.260002,126.260002,6133100
2022-11-10,140.100006,149.270004,139.699997,145.380005,145.380005,9755200
2022-11-11,146.639999,162.369995,143.789993,159.410004,159.410004,8671700
2022-11-14,157.330002,160.899994,152.470001,157.839996,157.839996,4577600
2022-11-15,165.589996,168.0,160.600006,163.490005,163.490005,4142800
2022-11-16,159.630005,161.490005,153.910004,154.149994,154.149994,3800700
2022-11-17,149.731995,151.789993,145.309998,147.690002,147.690002,4557900
2022-11-18,151.240005,151.520004,144.712006,146.199997,146.199997,3133100
2022-11-21,143.259995,144.559998,138.399994,141.139999,141.139999,3535100
2022-11-22,142.509995,143.630005,136.509995,143.360001,143.360001,4006200
2022-11-23,143.729996,148.130005,140.259995,146.449997,146.449997,4295900
2022-11-25,144.699997,145.136993,141.660004,144.720001,144.720001,1823500
2022-11-28,143.199997,146.210007,140.580002,141.070007,141.070007,3523900
2022-11-29,141.130005,141.565002,136.25,136.559998,136.559998,3725200
2022-11-30,134.869995,142.970001,131.970001,142.899994,142.899994,12668700
2022-12-01,144.509995,155.0,143.25,154.039993,154.039993,16528800
2022-12-02,149.399994,153.509995,147.0,149.740005,149.740005,6909600
2022-12-05,147.979996,148.940002,135.509995,135.630005,135.630005,9420500
2022-12-06,136.020004,137.979996,132.509995,136.729996,136.729996,6452100
2022-12-07,137.199997,140.240005,134.199997,137.410004,137.410004,5861200
2022-12-08,139.279999,144.970001,135.589996,142.869995,142.869995,5654500
2022-12-09,142.589996,148.679993,141.815994,144.529999,144.529999,4635800
2022-12-12,144.179993,151.399994,144.169998,150.880005,150.880005,5909800
2022-12-13,160.0,162.699997,150.080002,150.580002,150.580002,7242100
2022-12-14,151.520004,156.309998,146.580994,149.199997,149.199997,6486200
2022-12-15,144.369995,148.399994,142.220001,142.649994,142.649994,4460800
2022-12-16,142.440002,144.830002,139.0,142.449997,142.449997,6432800
2022-12-19,140.339996,143.259995,137.229996,138.100006,138.100006,3851500
2022-12-20,135.0,141.990005,134.792007,141.210007,141.210007,3622300
2022-12-21,141.720001,146.809998,137.880005,146.75,146.75,3649500
2022-12-22,143.029999,144.399994,137.770004,140.369995,140.369995,4406600
2022-12-23,138.779999,139.505005,135.220001,138.490005,138.490005,2669600
2022-12-27,136.339996,139.179993,133.589996,137.759995,137.759995,2707000
2022-12-28,137.139999,139.559998,136.0,138.419998,138.419998,2963600
2022-12-29,139.199997,143.949997,137.990005,142.380005,142.380005,3468800
2022-12-30,139.300003,143.610001,138.820007,143.539993,143.539993,2901900
2023-01-03,146.479996,149.199997,135.339996,135.5,135.5,4442000
2023-01-04,137.279999,137.600006,128.580002,130.440002,130.440002,6672900
2023-01-05,129.300003,129.490005,121.040001,121.559998,121.559998,8231800
2023-01-06,122.089996,126.07,119.269997,124.059998,124.059998,5827400
2023-01-09,127.230003,137.639999,126.669998,134.429993,134.429993,8192900
2023-01-10,134.860001,138.449997,133.740005,137.940002,137.940002,4518400
2023-01-11,138.199997,141.065002,136.550003,139.710007,139.710007,4290300
2023-01-12,140.389999,142.160004,135.100006,142.139999,142.139999,3810000
2023-01-13,139.300003,141.770004,137.309998,140.869995,140.869995,4919300
2023-01-17,141.149994,147.320007,139.460007,145.720001,145.720001,4607400
2023-01-18,147.449997,148.570007,140.039993,140.110001,140.110001,4337000
2023-01-19,137.5,140.550003,135.080002,135.240005,135.240005,4916400
2023-01-20,136.449997,145.080994,135.320007,144.820007,144.820007,4714200
2023-01-23,146.5,150.919998,144.740005,150.300003,150.300003,4562700
2023-01-24,148.130005,152.759995,145.259995,145.789993,145.789993,4086100
2023-01-25,138.270004,144.929993,134.339996,144.440002,144.440002,7460100
2023-01-26,148.669998,152.492996,144.759995,152.449997,152.449997,4450200
2023-01-27,150.589996,161.320007,150.380005,159.360001,159.360001,11486800
2023-01-30,156.779999,159.729996,152.809998,152.919998,152.919998,4239500
2023-01-31,153.770004,157.25,151.210007,156.440002,156.440002,5216200
2023-02-01,158.589996,166.830002,155.440002,165.220001,165.220001,5056100
2023-02-02,173.839996,178.699997,170.259995,178.050003,178.050003,8578200
2023-02-03,168.0,175.490005,163.0,163.289993,163.289993,7312900
2023-02-06,159.740005,163.520004,156.789993,158.070007,158.070007,5708700
2023-02-07,157.929993,161.5,154.414993,160.770004,160.770004,5343200
2023-02-08,161.259995,165.0,158.044998,159.059998,159.059998,3845300
2023-02-09,161.940002,166.720001,161.270004,162.679993,162.679993,4534100
2023-02-10,159.660004,162.009995,154.729996,157.330002,157.330002,4156600
2023-02-13,158.5,165.059998,157.050003,161.960007,161.960007,3615700
2023-02-14,159.970001,171.940002,158.240005,171.020004,171.020004,4994800
2023-02-15,171.399994,175.949997,170.070007,175.279999,175.279999,4437200
2023-02-16,171.0,172.720001,163.919998,164.399994,164.399994,4784600
2023-02-17,160.5,160.770004,151.550003,154.080002,154.080002,7951500
2023-02-21,150.600006,155.0,150.080002,151.259995,151.259995,3411000
2023-02-22,149.5,155.380005,149.5,150.660004,150.660004,4101900
2023-02-23,153.5,154.089996,147.75,153.119995,153.119995,4105800
2023-02-24,149.850006,150.75,145.279999,148.440002,148.440002,3791700
2023-02-27,150.199997,154.699997,148.580002,154.649994,154.649994,4500000
2023-02-28,154.679993,155.720001,152.929993,154.380005,154.380005,4395000
2023-03-01,154.220001,156.649994,153.0,154.5,154.5,8186400
2023-03-02,139.039993,140.149994,131.119995,135.279999,135.279999,25842200
2023-03-03,135.509995,143.330002,135.5,142.110001,142.110001,9894400
2023-03-06,142.649994,146.740005,140.848007,142.070007,142.070007,5419200
2023-03-07,141.0,146.190002,140.100006,142.449997,142.449997,4371900
2023-03-08,140.225006,144.380005,139.289993,142.649994,142.649994,3831700
2023-03-09,141.380005,144.100006,136.050003,136.300003,136.300003,5078200
2023-03-10,135.020004,135.787003,128.559998,131.460007,131.460007,8882300
