Date,Open,High,Low,Close,Adj Close,Volume
2023-03-16,298.0,307.179993,297.190002,306.809998,305.916107,98198100
2023-03-17,306.720001,309.149994,303.369995,305.359985,304.470337,89923700
2023-03-20,304.26001,306.299988,302.01001,305.970001,305.550873,56359500
2023-03-21,307.940002,310.799988,306.399994,310.339996,309.914886,49757000
2023-03-22,310.269989,315.25,305.950012,306.119995,305.700653,75791900
2023-03-23,309.920013,314.149994,307.01001,309.75,309.325684,74576000
2023-03-24,309.320007,310.98999,306.950012,310.890015,310.464142,57195200
2023-03-27,311.600006,312.700012,307.890015,308.76001,308.337067,50287400
2023-03-28,308.170013,308.200012,304.769989,307.119995,306.69928,48585900
2023-03-29,310.880005,313.350006,310.049988,312.720001,312.291626,53274300
2023-03-30,315.23999,316.320007,312.809998,315.679993,315.247559,58354800
2023-03-31,315.910004,321.170013,315.600006,320.929993,320.490387,62138100
2023-04-03,318.769989,320.420013,317.420013,320.149994,319.711456,47126800
2023-04-04,320.600006,321.630005,317.829987,319.070007,318.632935,45875400
2023-04-05,318.100006,319.059998,314.070007,315.920013,315.487244,62795700
2023-04-06,314.23999,318.549988,312.820007,318.049988,317.614319,46916500
2023-04-10,315.070007,317.920013,313.25,317.869995,317.43457,45134700
2023-04-11,317.829987,317.890015,315.309998,315.829987,315.397339,40113600
2023-04-12,317.820007,318.420013,312.570007,313.040009,312.611206,62813300
2023-04-13,314.829987,319.649994,313.630005,319.170013,318.732819,54613800
2023-04-14,317.589996,320.359985,315.609985,318.570007,318.133606,56278300
2023-04-17,318.149994,319.200012,316.040009,318.839996,318.403229,43007000
2023-04-18,320.98999,321.420013,317.640015,318.859985,318.423187,46746900
2023-04-19,316.410004,319.790009,316.279999,318.709991,318.273407,38960100
2023-04-20,315.690002,319.269989,314.970001,316.279999,315.846741,62462100
2023-04-21,315.910004,317.399994,314.100006,316.609985,316.17627,59002300
2023-04-24,316.380005,317.73999,313.73999,315.950012,315.517212,44043100
2023-04-25,314.290009,314.970001,309.890015,309.98999,309.565369,57121600
2023-04-26,313.440002,314.940002,311.339996,311.869995,311.44278,55400500
2023-04-27,315.700012,320.859985,315.049988,320.350006,319.911194,65430400
2023-04-28,320.109985,322.649994,318.959991,322.559998,322.118134,59652500
2023-05-01,322.089996,323.630005,321.089996,322.190002,321.748657,41013400
2023-05-02,322.119995,322.450012,317.609985,319.380005,318.942505,56519400
2023-05-03,319.75,322.470001,317.179993,317.290009,316.855377,59882100
2023-05-04,317.059998,318.230011,315.119995,316.170013,315.736908,50224500
2023-05-05,318.470001,323.76001,316.209991,322.890015,322.447723,51776000
2023-05-08,322.420013,324.040009,321.320007,323.690002,323.246613,36465800
2023-05-09,322.0,322.880005,321.320007,321.640015,321.199432,31768800
2023-05-10,324.119995,326.01001,321.600006,325.140015,324.694641,60446600
2023-05-11,325.700012,326.75,324.119995,326.200012,325.753174,44278500
2023-05-12,326.73999,327.170013,322.940002,325.029999,324.584747,48396200
2023-05-15,325.51001,327.029999,323.959991,326.790009,326.342346,33375600
2023-05-16,326.059998,328.899994,326.019989,327.160004,326.711853,40019200
2023-05-17,328.23999,331.709991,327.040009,331.119995,330.666412,47486100
2023-05-18,331.519989,337.48999,331.5,337.269989,336.807983,64213500
2023-05-19,337.48999,338.209991,335.429993,336.51001,336.049042,61462400
2023-05-22,336.25,338.670013,336.23999,337.640015,337.17749,43015900
2023-05-23,335.890015,337.059998,333.0,333.359985,332.903351,48216700
2023-05-24,331.369995,332.910004,329.559998,331.649994,331.195679,62891200
2023-05-25,339.140015,341.01001,336.670013,339.720001,339.254639,66862800
2023-05-26,340.76001,349.25,340.660004,348.399994,347.922729,63007000
2023-05-30,352.709991,353.929993,348.529999,349.980011,349.50061,72652200
2023-05-31,348.369995,350.600006,346.51001,347.98999,347.513306,65105400
2023-06-01,347.730011,353.359985,346.660004,352.01001,351.527802,50488600
2023-06-02,353.799988,355.829987,352.01001,354.649994,354.164185,53293500
2023-06-05,354.429993,357.5,353.850006,354.899994,354.413849,47266200
2023-06-06,354.279999,355.820007,352.929993,354.839996,354.353912,41390400
2023-06-07,355.130005,357.119995,348.179993,348.820007,348.342194,69225900
2023-06-08,349.119995,353.619995,348.890015,353.149994,352.666229,47153900
2023-06-09,354.630005,357.660004,353.029999,354.5,354.014404,53155900
2023-06-12,356.190002,360.589996,355.200012,360.48999,359.996185,44606500
2023-06-13,363.290009,364.109985,360.029999,363.26001,362.76239,57097800
2023-06-14,363.269989,366.190002,360.420013,365.899994,365.398773,69525600
2023-06-15,364.609985,371.769989,363.980011,370.26001,369.752808,71138800
2023-06-16,372.720001,372.850006,367.480011,367.929993,367.425995,80875900
2023-06-20,365.950012,368.320007,363.890015,366.899994,366.899994,49204700
2023-06-21,365.73999,366.179993,360.959991,361.899994,361.899994,53378300
2023-06-22,360.630005,366.329987,360.220001,366.170013,366.170013,47603000
2023-06-23,362.209991,364.880005,360.820007,362.540009,362.540009,48873900
2023-06-26,362.0,364.839996,357.589996,357.679993,357.679993,52685500
2023-06-27,359.25,364.570007,358.51001,363.829987,363.829987,49428100
2023-06-28,361.980011,366.519989,361.899994,364.540009,364.540009,46498000
2023-06-29,364.23999,364.890015,362.140015,363.809998,363.809998,46151000
2023-06-30,367.549988,370.48999,367.230011,369.420013,369.420013,58668800
2023-07-03,370.070007,370.929993,368.970001,370.290009,370.290009,19432900
2023-07-05,368.700012,372.01001,368.660004,370.279999,370.279999,34460900
2023-07-06,366.51001,367.910004,364.519989,367.459991,367.459991,49374700
2023-07-07,367.230011,370.480011,366.01001,366.23999,366.23999,47083200
2023-07-10,365.959991,367.049988,363.410004,366.359985,366.359985,48498800
2023-07-11,366.790009,368.630005,364.619995,368.170013,368.170013,38214100
2023-07-12,372.339996,374.190002,370.299988,372.820007,372.820007,61975400
2023-07-13,376.049988,379.98999,375.459991,379.149994,379.149994,46960000
2023-07-14,379.589996,382.859985,378.179993,379.070007,379.070007,55097800
2023-07-17,379.799988,383.5,379.309998,382.609985,382.609985,40868900
2023-07-18,381.959991,387.130005,380.0,385.73999,385.73999,55343400
2023-07-19,386.820007,387.980011,384.299988,385.649994,385.649994,54093000
2023-07-20,382.609985,384.100006,375.720001,376.76001,376.76001,71941700
2023-07-21,379.179993,379.920013,375.190002,375.630005,375.630005,60439400
2023-07-24,376.619995,377.579987,374.339996,376.230011,376.230011,40380100
2023-07-25,376.950012,380.470001,376.929993,378.779999,378.779999,38894400
2023-07-26,377.720001,379.23999,375.179993,377.519989,377.519989,47075700
2023-07-27,383.070007,384.709991,375.309998,376.619995,376.619995,63940200
2023-07-28,380.73999,384.519989,380.220001,383.480011,383.480011,56902900
2023-07-31,383.790009,384.880005,382.339996,383.679993,383.679993,44019900
2023-08-01,382.309998,383.559998,380.690002,382.790009,382.790009,41060600
2023-08-02,379.26001,379.26001,373.130005,374.390015,374.390015,72687100
2023-08-03,371.940002,375.950012,371.769989,373.790009,373.790009,47666400
2023-08-04,375.75,378.100006,371.529999,372.040009,372.040009,61646200
2023-08-07,373.880005,375.290009,371.51001,375.190002,375.190002,37230400
2023-08-08,372.640015,372.660004,368.820007,372.0,372.0,44726500
2023-08-09,372.290009,372.450012,367.140015,367.910004,367.910004,51150900
2023-08-10,370.970001,374.359985,367.040009,368.589996,368.589996,72035300
2023-08-11,365.98999,368.0,364.690002,366.23999,366.23999,48683800
2023-08-14,365.429993,370.470001,364.700012,370.350006,370.350006,42130800
2023-08-15,369.359985,370.170013,365.73999,366.420013,366.420013,45539900
2023-08-16,365.869995,367.429993,362.440002,362.540009,362.540009,53190500
2023-08-17,363.959991,364.309998,358.160004,358.579987,358.579987,62604300
2023-08-18,355.26001,359.410004,354.709991,358.130005,358.130005,61119500
2023-08-21,359.619995,364.589996,359.149994,363.899994,363.899994,50696500
2023-08-22,366.549988,366.559998,362.679993,363.380005,363.380005,44613500
2023-08-23,364.579987,370.220001,364.359985,369.109985,369.109985,51770600
2023-08-24,372.640015,372.73999,361.01001,361.220001,361.220001,66842500
2023-08-25,362.070007,365.73999,358.579987,364.019989,364.019989,69910900
2023-08-28,366.98999,367.709991,364.25,366.76001,366.76001,40832200
2023-08-29,366.559998,375.130005,366.230011,374.769989,374.769989,58492400
2023-08-30,374.880005,377.450012,373.859985,376.859985,376.859985,41673300
